pmid	pmcid	sentence
34914688	8675677	Using this graphical model called the Stochastic Progression Model, we applied a Markov Process and implemented the model over different datasets that represent symptom frequency in a patient population to find most likely and least likely order of symptoms in these diseases [9].
34914688	8675677	To this end, we first analyzed a large dataset from the USA, that consists of approximately 70% of D614G variant cases at this time, to compare to our previous results that were calculated from a large dataset from China, that consists of approximately 2% of D614G variant cases at the time of data collection [16].
34914688	8675677	We then analyzed other datasets to determine whether the D614G mutation is correlated with the predicted likely order of symptom onset.
34914688	8675677	Early in the pandemic, we implemented the Stochastic Progression Model to model a large dataset from China to test whether the model predicts a specific symptom order [9], but whether this prediction of symptom order holds in other situations is unclear.
34914688	8675677	We chose to first perform the same analysis over a set of 373,883 cases in the USA that were collected from January 22 to May 30, 2020 [17] as we did previously for the initial dataset from China, which was collected from February 16 to 24, 2020 [20].
34914688	8675677	Using the previous China dataset and this USA dataset (), we constructed a Hasse Diagram, which illustrates states (i.e.
34914688	8675677	Specifically, our model predicted that in the USA dataset cough is more likely than fever to be the initial symptom and the inverse in the China dataset.
34914688	8675677	B) Table of raw frequency data specifying the number and the percentage of patients that experienced fever and cough in the China and USA datasets.
34914688	8675677	We calculated the error of the transition probabilities of each dataset () to rank transitions that differ with a probability greater than the error towards determining the relative likelihood of paths.
34914688	8675677	In other words, our model predicts 76.9% of the patients in the dataset from China will experience fever first rather than the other three symptoms analyzed, whereas 47.5% of the patients in the dataset from the USA will experience cough first.
34914688	8675677	The errors of the transition probabilities using the China and USA datasets are 0.010 () and 0.063 (), respectively.
34914688	8675677	The second most likely initial symptom from the China dataset is cough, with a transition probability of 0.221, while the second most likely initial symptom from the USA dataset is fever, with a transition probability of 0.353 ().
34914688	8675677	Thus, our model predicted that fever was three times more likely than cough to occur first in the China dataset, while cough was only about one third more likely to occur first than fever in the USA dataset.
34914688	8675677	We modeled the first, second, and third most likely orders of symptom onset of COVID-19 for the same datasets used above, that occurred during the initial outbreak in China () and during the subsequent outbreak in the USA () to further observe any predicted variance in the order of symptoms of COVID-19.
34914688	8675677	For the dataset from China, the third symptom in the first and second most likely paths is nausea/vomiting, whereas for the USA dataset the third symptom in the first and second most likely paths is diarrhea ().
34914688	8675677	The transition probability of nausea/vomiting occurring third in both the first and second most likely paths is 0.575 for the dataset from China ().
34914688	8675677	In contrast, the transition probability of diarrhea occurring as the third symptom is 0.647 in the first and second most likely paths as determined from the dataset from USA ().
34914688	8675677	The error of the transition probabilities of the model of the China dataset is 0.010 and the error of the transition probabilities of the USA dataset is 0.063 ().
34914688	8675677	Thus, based on these datasets, our model predicts that among GI symptoms, nausea/vomiting occurs before diarrhea in the cases from the initial outbreak in China and diarrhea is more likely to occur before nausea/vomiting in the subsequent cases in the USA.
34914688	8675677	The errors of the probabilities of the paths using the datasets from China and USA dataset are 0.010 and 0.063, respectively.
34914688	8675677	In order to further elucidate the relationship between symptom order and the D614G mutation, we implemented the Stochastic Progression Model as we did above to model two datasets from two other geographical regions with available symptom frequency data.
34914688	8675677	To validate this observed difference in likely symptom order, we performed the analysis for datasets from Hong Kong and Brazil [23,24].
34914688	8675677	The time of data collection for the dataset from Hong Kong was during a period of the Wuhan reference strain dominating the region, whereas the D614G variant was predominant in Brazil at the time of that study [16].
34914688	8675677	The most likely path determined from Hong Kong was consistent with the dataset from China, except diarrhea is the third most likely symptom in Hong Kong as opposed to nausea/vomiting occurring third in China (Figs ) [20,23].
34914688	8675677	The error of the transition probabilities of the implementation of the Hong Kong dataset is 0.017 ().
34914688	8675677	The most likely order of symptoms determined from the Brazil dataset is the same as the most likely order determined from the USA () [17,24].
34914688	8675677	The error of the transition probabilities of the implementation of the Brazil dataset is 0.019 ().
34914688	8675677	The raw frequency of fever and cough occurrence is provided to allow comparison to the calculated transition probabilities of the initial two symptoms in the implementation of the Hong Kong and the Brazil datasets ().
34914688	8675677	B) Table of raw frequency data specifying the number and the percentage of patients that experienced fever and cough in the Hong Kong and Brazil datasets.
34914688	8675677	So, we implemented the Stochastic Progression Model once again and created Hasse Diagrams to mathematically model a dataset from Japan from before the D614G mutation was prominent () and a dataset from Japan that consisted of mostly cases after the D614G mutation emerged ().
34914688	8675677	The early dataset did not report nausea or vomiting, so we did not include these symptoms in our analysis here [27].
34914688	8675677	In the early data set, fever occurred first by a high likelihood () [27].
34914688	8675677	However, when we implemented the model on the later dataset, the results indicated an equal likelihood of cough or fever occurring first () [28], as if the patient population was shifting from a China-like disease phenotype to a USA-like phenotype.
34914688	8675677	The error of the transition probabilities of the earlier dataset is 0.002 ().
34914688	8675677	The error of the transition probabilities of the later dataset is 0.036 ().
34914688	8675677	These transition probabilities are similar to those from China and the USA datasets.
34914688	8675677	C) Table of raw frequency data specifying the number and the percentage of patients that experienced fever and cough in the datasets of Japan before and after the D614G mutation became prominent.
34914688	8675677	The China and USA datasets were collected over vast regions and different seasons, so we could not control for the effects of weather [17,20].
