,,0,1
diff_seed,count,3375.0,3375.0
diff_seed,mean,2.0041481481481482,-2.0041481481481482
diff_seed,std,5.002546533672106,5.002546533672106
diff_seed,min,-15.0,-15.0
diff_seed,25%,-1.0,-5.0
diff_seed,50%,2.0,-2.0
diff_seed,75%,5.0,1.0
diff_seed,max,15.0,15.0
diff_strength_of_schedule,count,3375.0,3375.0
diff_strength_of_schedule,mean,-2.8374983703703704,2.8374983703703704
diff_strength_of_schedule,std,14.079937327163524,14.079937327163524
diff_strength_of_schedule,min,-53.299,-53.955
diff_strength_of_schedule,25%,-11.414500000000004,-6.400500000000001
diff_strength_of_schedule,50%,-2.1229999999999976,2.1229999999999976
diff_strength_of_schedule,75%,6.400500000000001,11.414500000000004
diff_strength_of_schedule,max,53.955,53.299
diff_def_reb_rate,count,3375.0,3375.0
diff_def_reb_rate,mean,-0.16521481481481481,0.16521481481481481
diff_def_reb_rate,std,6.188553697273421,6.188553697273421
diff_def_reb_rate,min,-21.3,-20.39999999999999
diff_def_reb_rate,25%,-4.5000000000000036,-4.099999999999994
diff_def_reb_rate,50%,-0.0999999999999943,0.0999999999999943
diff_def_reb_rate,75%,4.099999999999994,4.5000000000000036
diff_def_reb_rate,max,20.39999999999999,21.3
diff_power_rating,count,3375.0,3375.0
diff_power_rating,mean,-0.03483762962962962,0.03483762962962962
diff_power_rating,std,0.15167452305119947,0.15167452305119947
diff_power_rating,min,-0.943,-0.883
diff_power_rating,25%,-0.1059999999999999,-0.044
diff_power_rating,50%,-0.0239999999999999,0.0239999999999999
diff_power_rating,75%,0.044,0.1059999999999999
diff_power_rating,max,0.883,0.943
diff_margin_of_victory,count,3375.0,3375.0
diff_margin_of_victory,mean,-3.0923259259259255,3.0923259259259255
diff_margin_of_victory,std,11.902718842315235,11.902718842315235
diff_margin_of_victory,min,-57.3,-57.7
diff_margin_of_victory,25%,-10.7,-5.0000000000000036
diff_margin_of_victory,50%,-3.0,3.0
diff_margin_of_victory,75%,5.0000000000000036,10.7
diff_margin_of_victory,max,57.7,57.3
